date,state,positive,negative,totalTestResults,death
2020-06-23,FL,103503,1537249,1640752,3333
2020-06-24,FL,109014,1559328,1668342,3377
2020-06-25,FL,114018,1606626,1720644,3423
2020-06-26,FL,122960,1645925,1768885,3464
2020-06-27,FL,132545,1696980,1829525,3489
2020-06-28,FL,141075,1740822,1881897,3518
2020-06-29,FL,146341,1766402,1912743,3546
2020-06-30,FL,152434,1792561,1944995,3604
2020-07-01,FL,158997,1821357,1980354,3650
2020-07-02,FL,169106,1863077,2032183,3718
2020-07-03,FL,178594,1902766,2081360,3785
2020-07-04,FL,190052,1956445,2146497,3803
2020-07-05,FL,200111,2000088,2200199,3832
2020-07-06,FL,206447,2027493,2233940,3880
2020-07-07,FL,213794,2055400,2269194,3943
2020-07-08,FL,223783,2096424,2320207,3991
2020-07-09,FL,232718,2124680,2357398,4111
2020-07-10,FL,244151,2177476,2421627,4203
2020-07-11,FL,254511,2220788,2475299,4301
2020-07-12,FL,269811,2304196,2574007,4346
2020-07-13,FL,282435,2357139,2639574,4381
2020-07-14,FL,291629,2393614,2685243,4514
2020-07-15,FL,301810,2434143,2735953,4626
2020-07-16,FL,315775,2499843,2815618,4782
2020-07-17,FL,327241,2553527,2880768,4912
2020-07-18,FL,337569,2594419,2931988,5002
2020-07-19,FL,350047,2652594,3002641,5091
2020-07-20,FL,360394,2691712,3052106,5183
2020-07-21,FL,369834,2729916,3099750,5319
2020-07-22,FL,379619,2775092,3154711,5459
2020-07-23,FL,389868,2821074,3210942,5632
2020-07-24,FL,402312,2874324,3276636,5768
2020-07-25,FL,414511,2921866,3336377,5894
2020-03-04,GA,2,0,2,0
2020-03-05,GA,2,0,2,0
2020-03-06,GA,2,0,2,0
2020-03-07,GA,6,0,6,0
2020-03-08,GA,7,0,7,0
2020-03-09,GA,12,0,12,0
2020-03-10,GA,17,0,17,0
2020-03-11,GA,22,0,22,0
2020-03-12,GA,31,0,31,0
2020-03-13,GA,42,0,42,1
2020-03-14,GA,66,0,66,1
2020-03-15,GA,99,0,99,1
2020-03-16,GA,121,0,121,1
2020-03-17,GA,146,0,146,1
2020-03-18,GA,197,1311,1508,1
2020-03-19,GA,287,1544,1831,10
2020-03-20,GA,420,1966,2386,13
2020-03-21,GA,507,2557,3064,14
2020-03-22,GA,600,3420,4020,23
2020-03-23,GA,772,4297,5069,25
2020-03-24,GA,1026,4458,5484,32
2020-03-25,GA,1247,4932,6179,40
2020-03-26,GA,1525,7401,8926,48
2020-03-27,GA,2001,7864,9865,64
2020-03-28,GA,2366,8685,11051,69
2020-03-29,GA,2651,9913,12564,80
2020-03-30,GA,2809,9915,12724,87
2020-03-31,GA,3929,12252,16181,111
2020-04-01,GA,4638,15688,20326,139
2020-04-02,GA,5348,17609,22957,163
2020-04-03,GA,5831,19434,25265,184
2020-04-04,GA,6160,20134,26294,201
2020-04-05,GA,6647,21185,27832,211
2020-04-06,GA,7314,23960,31274,229
2020-04-07,GA,8818,24895,33713,329
2020-04-08,GA,9901,28886,38787,362
2020-04-09,GA,10566,30519,41085,379
2020-04-10,GA,11483,34664,46147,416
2020-04-11,GA,12159,39556,51715,428
2020-04-12,GA,12452,42001,54453,433
2020-04-13,GA,13315,43706,57021,464
2020-04-14,GA,14223,47572,61795,501
2020-04-15,GA,14987,49103,64090,552
2020-04-16,GA,15669,52270,67939,587
2020-04-17,GA,17194,54490,71684,650
2020-04-18,GA,17669,56539,74208,673
2020-04-19,GA,18301,61632,79933,687
2020-04-20,GA,18947,65381,84328,733
2020-04-21,GA,19881,68259,88140,799
2020-04-22,GA,20740,73332,94072,836
2020-04-23,GA,21512,79550,101062,872
2020-04-24,GA,22147,85029,107176,892
2020-04-25,GA,22695,96319,119014,904
2020-04-26,GA,23401,99822,123223,912
2020-04-27,GA,23913,103256,127169,971
2020-04-28,GA,24615,115405,140020,1026
2020-04-29,GA,25623,118155,143778,1093
2020-04-30,GA,26155,122889,149044,1120
2020-05-01,GA,27270,141097,168367,1154
2020-05-02,GA,28306,146494,174800,1174
2020-05-03,GA,28602,146494,175096,1177
2020-05-04,GA,29368,153957,183325,1222
2020-05-05,GA,29711,171172,200883,1288
2020-05-06,GA,30696,173441,204137,1311
2020-05-07,GA,31439,185864,217303,1336
2020-05-08,GA,32106,195461,227567,1377
2020-05-09,GA,32532,202792,235324,1400
2020-05-10,GA,33441,210106,243547,1405
2020-05-11,GA,33927,217361,251288,1441
2020-05-12,GA,34635,227544,262179,1461
2020-05-13,GA,35332,238572,273904,1505
2020-05-14,GA,35858,250023,285881,1527
2020-05-15,GA,36681,265193,301874,1557
2020-05-16,GA,37147,283922,321069,1592
2020-05-17,GA,37701,313474,351175,1606
2020-05-18,GA,38081,326208,364289,1642
2020-05-19,GA,38721,339435,378156,1664
2020-05-20,GA,39647,363293,402940,1687
2020-05-21,GA,40405,367326,407731,1754
2020-05-22,GA,41218,386031,427249,1785
2020-05-23,GA,42132,411405,453537,1811
2020-05-24,GA,42838,439116,481954,1824
2020-05-25,GA,43344,470201,513545,1830
2020-05-26,GA,43730,471215,514945,1871
2020-05-27,GA,44421,396335,440756,1907
2020-05-28,GA,45070,399576,444646,1962
2020-05-29,GA,45670,404601,450271,1974
2020-05-30,GA,46286,408552,454838,2003
2020-05-31,GA,46986,418539,465525,2042
2020-06-01,GA,47618,424013,471631,2074
2020-06-02,GA,48207,426080,474287,2102
2020-06-03,GA,48894,433818,482712,2123
2020-06-04,GA,49847,446484,496331,2147
2020-06-05,GA,50621,457167,507788,2174
2020-06-06,GA,51309,471548,522857,2174
2020-06-07,GA,51898,487986,539884,2180
2020-06-08,GA,52497,496878,549375,2208
2020-06-09,GA,53249,503934,557183,2285
2020-06-10,GA,53980,516975,570955,2329
2020-06-11,GA,54973,529268,584241,2375
2020-06-12,GA,55783,536175,591958,2418
2020-06-13,GA,56801,542879,599680,2446
2020-06-14,GA,57681,563109,620790,2451
2020-06-15,GA,58414,572082,630496,2494
2020-06-16,GA,59078,575900,634978,2529
2020-06-17,GA,60030,590437,650467,2575
2020-06-18,GA,60912,602292,663204,2605
2020-06-19,GA,62009,608297,670306,2636
2020-06-20,GA,63809,630575,694384,2642
2020-06-21,GA,64701,633606,698307,2643
2020-06-22,GA,65928,642098,708026,2648
2020-06-23,GA,67678,663583,731261,2688
2020-06-24,GA,69381,673853,743234,2698
2020-06-25,GA,71095,686829,757924,2745
2020-06-26,GA,72995,698033,771028,2770
2020-06-27,GA,74985,714828,789813,2776
2020-06-28,GA,77210,729728,806938,2778
2020-06-29,GA,79417,743700,823117,2784
2020-06-30,GA,81291,752587,833878,2805
2020-07-01,GA,84237,770801,855038,2827
2020-07-02,GA,87709,795530,883239,2849
2020-07-03,GA,90493,810724,901217,2856
2020-07-04,GA,93319,833040,926359,2857
2020-07-05,GA,95516,853669,949185,2860
2020-07-06,GA,97064,861889,958953,2878
2020-07-07,GA,100470,878982,979452,2899
2020-07-08,GA,103890,896519,1000409,2922
2020-07-09,GA,106727,912695,1019422,2930
2020-07-10,GA,111211,935137,1046348,2965
2020-07-11,GA,114401,950472,1064873,2996
2020-07-12,GA,116926,966490,1083416,3001
2020-07-13,GA,120569,987398,1107967,3026
2020-07-14,GA,123963,1007071,1131034,3054
2020-07-15,GA,127834,1027149,1154983,3091
2020-07-16,GA,131275,1046947,1178222,3104
2020-07-17,GA,135183,1063495,1198678,3132
2020-07-18,GA,139872,1091934,1231806,3168
2020-07-19,GA,143123,1112196,1255319,3173
2020-07-20,GA,145575,1128206,1273781,3176
2020-07-21,GA,148988,1146303,1295291,3254
2020-07-22,GA,152302,1164542,1316844,3335
2020-07-23,GA,156588,1180350,1336938,3360
2020-07-24,GA,161401,1221043,1382444,3442
2020-07-25,GA,165188,1242652,1407840,3495
2020-03-16,GU,3,23,26,0
2020-03-17,GU,5,41,46,0
2020-03-18,GU,8,57,65,0
2020-03-19,GU,12,69,81,0
2020-03-20,GU,14,86,100,0
2020-03-21,GU,15,108,123,0
2020-03-22,GU,27,126,153,1
2020-03-23,GU,29,161,190,1
2020-03-24,GU,32,201,233,1
2020-03-25,GU,37,233,270,1
2020-03-26,GU,45,263,308,1
2020-03-27,GU,51,299,350,1
2020-03-28,GU,55,299,354,1
2020-03-29,GU,56,334,390,1
2020-03-30,GU,58,352,410,1
2020-03-31,GU,69,371,440,2
2020-04-01,GU,77,406,483,3
2020-04-02,GU,82,442,524,3
2020-04-03,GU,84,459,543,4
2020-04-04,GU,93,472,565,4
2020-04-05,GU,112,493,605,4
2020-04-06,GU,113,505,618,4
2020-04-07,GU,121,529,650,4
2020-04-08,GU,125,562,687,4
2020-04-09,GU,128,593,721,4
2020-04-10,GU,130,662,792,4
2020-04-11,GU,133,693,826,5
2020-04-12,GU,133,693,826,5
2020-04-13,GU,133,770,903,5
2020-04-14,GU,133,811,944,5
2020-04-15,GU,133,843,976,5
2020-04-16,GU,133,870,1003,5
2020-04-17,GU,133,940,1073,5
2020-04-18,GU,133,943,1076,5
2020-04-19,GU,133,943,1076,5
2020-04-20,GU,133,991,1124,5
2020-04-21,GU,133,1033,1166,5
2020-04-22,GU,134,1086,1220,5
2020-04-23,GU,135,1180,1315,5
2020-04-24,GU,141,1233,1374,5
2020-04-25,GU,141,1308,1449,5
2020-04-26,GU,141,1387,1528,5
2020-04-27,GU,144,1424,1568,5
2020-04-28,GU,145,1538,1683,5
2020-04-29,GU,145,1702,1847,5
2020-04-30,GU,146,1962,2108,5
2020-05-01,GU,146,2859,3005,5
2020-05-02,GU,148,3040,3188,5
2020-05-03,GU,150,3152,3302,5
2020-05-04,GU,149,3242,3391,5
2020-05-05,GU,149,3341,3490,5
2020-05-06,GU,151,3476,3627,5
2020-05-07,GU,151,3564,3715,5
2020-05-08,GU,151,3626,3777,5
2020-05-09,GU,151,3643,3794,5
2020-05-10,GU,151,3643,3794,5
2020-05-11,GU,151,3838,3989,5
2020-05-12,GU,152,3939,4091,5
2020-05-13,GU,152,4110,4262,5
2020-05-14,GU,153,4226,4379,5
2020-05-15,GU,154,4361,4515,5
2020-05-16,GU,154,4365,4519,5
2020-05-17,GU,154,4450,4604,5
2020-05-18,GU,154,4569,4723,5
2020-05-19,GU,154,4673,4827,5
2020-05-20,GU,165,4807,4972,5
2020-05-21,GU,165,4899,5064,5
2020-05-22,GU,165,5114,5279,5
2020-05-23,GU,165,5194,5359,5
2020-05-24,GU,166,5403,5569,5
2020-05-25,GU,166,5403,5569,5
2020-05-26,GU,169,5515,5684,5
2020-05-27,GU,170,5515,5685,5
2020-05-28,GU,172,5790,5962,5
2020-05-29,GU,172,5923,6095,5
2020-05-30,GU,173,5929,6102,5
2020-05-31,GU,173,5929,6102,5
2020-06-01,GU,175,6141,6316,5
2020-06-02,GU,177,6214,6391,5
2020-06-03,GU,178,6549,6727,5
2020-06-04,GU,179,6805,6984,5
2020-06-05,GU,179,7195,7374,5
2020-06-06,GU,179,7284,7463,5
2020-06-07,GU,179,7284,7463,5
2020-06-08,GU,179,7550,7729,5
2020-06-09,GU,180,7796,7976,5
2020-06-10,GU,182,8100,8282,5
2020-06-11,GU,183,8197,8380,5
2020-06-12,GU,184,8343,8527,5
2020-06-13,GU,185,8358,8543,5
2020-06-14,GU,185,8358,8543,5
2020-06-15,GU,185,8573,8758,5
2020-06-16,GU,186,8846,9032,5
2020-06-17,GU,188,9010,9198,5
2020-06-18,GU,193,9395,9588,5
2020-06-19,GU,200,9515,9715,5
2020-06-20,GU,222,9788,10010,5
2020-06-21,GU,222,9788,10010,5
2020-06-22,GU,224,10180,10404,5
2020-06-23,GU,225,10426,10651,5
2020-06-24,GU,231,10807,11038,5
2020-06-25,GU,245,11173,11418,5
2020-06-26,GU,248,11644,11892,5
2020-06-27,GU,248,11903,12151,5
2020-06-28,GU,248,12130,12378,5
2020-06-29,GU,255,12659,12914,5
2020-06-30,GU,259,13056,13315,5
2020-07-01,GU,267,13517,13784,5
2020-07-02,GU,280,13653,13933,5
2020-07-03,GU,286,14263,14549,5
2020-07-04,GU,288,14666,14954,5
2020-07-05,GU,288,14666,14954,5
2020-07-06,GU,301,15248,15549,5
2020-07-07,GU,303,15608,15911,5
2020-07-08,GU,307,15833,16140,5
2020-07-09,GU,309,16223,16532,5
2020-07-10,GU,310,16556,16866,5
2020-07-11,GU,312,16667,16979,5
2020-07-12,GU,312,16667,16979,5
2020-07-13,GU,312,17030,17342,5
2020-07-14,GU,312,17225,17537,5
2020-07-15,GU,313,17514,17827,5
2020-07-16,GU,314,17697,18011,5
2020-07-17,GU,314,17938,18252,5
2020-07-18,GU,315,17938,18253,5
2020-07-19,GU,315,17938,18253,5
2020-07-20,GU,319,18252,18571,5
2020-07-21,GU,327,18430,18757,5
2020-07-22,GU,330,18752,19082,5
2020-07-23,GU,332,19132,19464,5
2020-07-24,GU,337,19132,19469,5
2020-07-25,GU,337,19695,20032,5
2020-03-07,HI,1,0,1,0
2020-03-08,HI,1,0,1,0
2020-03-09,HI,2,0,2,0
2020-03-10,HI,2,0,2,0
2020-03-11,HI,2,0,2,0
2020-03-12,HI,2,0,2,0
2020-03-13,HI,2,0,2,0
2020-03-14,HI,2,0,2,0
2020-03-15,HI,2,0,2,0
2020-03-16,HI,7,0,7,0
2020-03-17,HI,10,0,10,0
2020-03-18,HI,14,93,107,0
2020-03-19,HI,16,93,109,0
2020-03-20,HI,26,124,150,0
2020-03-21,HI,37,124,161,0
2020-03-22,HI,48,263,311,0
2020-03-23,HI,56,2955,3011,0
2020-03-24,HI,77,3589,3666,0
2020-03-25,HI,90,4357,4447,0
2020-03-26,HI,95,4357,4452,0
2020-03-27,HI,106,4357,4463,0
2020-03-28,HI,120,4357,4477,0
2020-03-29,HI,151,6849,7000,0
2020-03-30,HI,175,7825,8000,0
2020-03-31,HI,204,8471,8675,0
2020-04-01,HI,208,8721,8929,1
2020-04-02,HI,258,10206,10464,1
2020-04-03,HI,285,10206,10491,2
2020-04-04,HI,319,11959,12278,3
2020-04-05,HI,351,12604,12955,4
2020-04-06,HI,371,13155,13526,4
2020-04-07,HI,387,13155,13542,5
2020-04-08,HI,410,14739,15149,5
2020-04-09,HI,435,15316,15751,5
2020-04-10,HI,442,15707,16149,6
2020-04-11,HI,465,17066,17531,8
2020-04-12,HI,486,17482,17968,8
2020-04-13,HI,499,18345,18844,9
2020-04-14,HI,504,18916,19420,9
2020-04-15,HI,517,19286,19803,9
2020-04-16,HI,530,20170,20700,9
2020-04-17,HI,541,21316,21857,9
2020-04-18,HI,553,21790,22343,9
2020-04-19,HI,574,22896,23470,9
2020-04-20,HI,580,23595,24175,10
2020-04-21,HI,584,24112,24696,10
2020-04-22,HI,586,24760,25346,12
2020-04-23,HI,592,25536,26128,12
2020-04-24,HI,596,26291,26887,12
2020-04-25,HI,601,27439,28040,13
2020-04-26,HI,603,27880,28483,14
2020-04-27,HI,606,28404,29010,14
2020-04-28,HI,607,28576,29183,16
2020-04-29,HI,609,29009,29618,16
2020-04-30,HI,613,30027,30640,16
2020-05-01,HI,618,30476,31094,16
2020-05-02,HI,619,31366,31985,16
2020-05-03,HI,620,32330,32950,16
2020-05-04,HI,620,33246,33866,17
2020-05-05,HI,621,33378,33999,17
2020-05-06,HI,625,34574,35199,17
2020-05-07,HI,626,34915,35541,17
2020-05-08,HI,629,35989,36618,17
2020-05-09,HI,629,35633,36262,17
2020-05-10,HI,631,36639,37270,17
2020-05-11,HI,632,37051,37683,17
2020-05-12,HI,634,37305,37939,17
2020-05-13,HI,635,37730,38365,17
2020-05-14,HI,638,38243,38881,17
2020-05-15,HI,637,38139,38776,17
2020-05-16,HI,638,40245,40883,17
2020-05-17,HI,639,41035,41674,17
2020-05-18,HI,640,41405,42045,17
2020-05-19,HI,640,44383,45023,17
2020-05-20,HI,641,45663,46304,17
2020-05-21,HI,643,46506,47149,17
2020-05-22,HI,647,47338,47985,17
2020-05-23,HI,642,48179,48821,17
2020-05-24,HI,643,48929,49572,17
2020-05-25,HI,643,49728,50371,17
2020-05-26,HI,643,49728,50371,17
2020-05-27,HI,643,50559,51202,17
2020-05-28,HI,644,51195,51839,17
2020-05-29,HI,647,52177,52824,17
2020-05-30,HI,649,53365,54014,17
2020-05-31,HI,651,53969,54620,17
2020-06-01,HI,652,47835,48487,17
2020-06-02,HI,652,48269,48921,17
2020-06-03,HI,653,48855,49508,17
2020-06-04,HI,653,49985,50638,17
2020-06-05,HI,655,51681,52336,17
2020-06-06,HI,664,52593,53257,17
2020-06-07,HI,673,53382,54055,17
2020-06-08,HI,675,54472,55147,17
2020-06-09,HI,676,54798,55474,17
2020-06-10,HI,682,55491,56173,17
2020-06-11,HI,685,56610,57295,17
2020-06-12,HI,692,57887,58579,17
2020-06-13,HI,706,58632,59338,17
2020-06-14,HI,723,59599,60322,17
2020-06-15,HI,728,60746,61474,17
2020-06-16,HI,736,61292,62028,17
2020-06-17,HI,740,62503,63243,17
2020-06-18,HI,744,63630,64374,17
2020-06-19,HI,762,64982,65744,17
2020-06-20,HI,789,65945,66734,17
2020-06-21,HI,803,67057,67860,17
2020-06-22,HI,814,67897,68711,17
2020-06-23,HI,816,68524,69340,17
2020-06-24,HI,819,69720,70539,17
2020-06-25,HI,835,71100,71935,17
2020-06-26,HI,850,72155,73005,17
2020-06-27,HI,866,73435,74301,17
2020-06-28,HI,872,74606,75478,18
2020-06-29,HI,899,76256,77155,18
2020-06-30,HI,900,76843,77743,18
2020-07-01,HI,917,78141,79058,18
2020-07-02,HI,926,79364,80290,18
2020-07-03,HI,946,80672,81618,18
2020-07-04,HI,975,82501,83476,19
2020-07-05,HI,999,83326,84325,19
2020-07-06,HI,1023,84035,85058,19
2020-07-07,HI,1030,84643,85673,19
2020-07-08,HI,1071,86025,87096,19
2020-07-09,HI,1094,88058,89152,19
2020-07-10,HI,1130,89465,90595,19
2020-07-11,HI,1158,91076,92234,19
2020-07-12,HI,1200,92720,93920,19
2020-07-13,HI,1220,93950,95170,19
2020-07-14,HI,1243,94827,96070,22
2020-07-15,HI,1264,96293,97557,22
2020-07-16,HI,1292,98095,99387,22
2020-07-17,HI,1311,99893,101204,22
2020-07-18,HI,1334,101661,102995,23
2020-07-19,HI,1354,103281,104635,24
2020-07-20,HI,1381,104575,105956,24
2020-07-21,HI,1393,105390,106783,24
2020-07-22,HI,1418,106764,108182,24
2020-07-23,HI,1435,107378,108813,25
2020-07-24,HI,1490,109801,111291,26
2020-07-25,HI,1549,111241,112790,26
2020-03-06,IA,0,15,15,0
2020-03-07,IA,0,15,15,0
2020-03-08,IA,0,15,15,0
2020-03-09,IA,3,26,29,0
2020-03-10,IA,8,32,40,0
2020-03-11,IA,13,46,59,0
2020-03-12,IA,14,67,81,0
2020-03-13,IA,16,83,99,0
2020-03-14,IA,17,83,100,0
2020-03-15,IA,18,83,101,0
2020-03-16,IA,22,83,105,0
2020-03-17,IA,23,83,106,0
2020-03-18,IA,29,83,112,0
2020-03-19,IA,38,83,121,0
2020-03-20,IA,45,642,687,0
2020-03-21,IA,68,1049,1117,0
2020-03-22,IA,90,1215,1305,0
2020-03-23,IA,105,2043,2148,0
2020-03-24,IA,124,2315,2439,0
2020-03-25,IA,145,2578,2723,1
2020-03-26,IA,179,2578,2757,1
2020-03-27,IA,235,3740,3975,3
2020-03-28,IA,298,4375,4673,3
2020-03-29,IA,336,5013,5349,4
2020-03-30,IA,424,6162,6586,6
2020-03-31,IA,497,6888,7385,7
2020-04-01,IA,549,7304,7853,9
2020-04-02,IA,614,8054,8668,11
2020-04-03,IA,699,8754,9453,11
2020-04-04,IA,786,9454,10240,14
2020-04-05,IA,868,9973,10841,22
2020-04-06,IA,946,10653,11599,25
2020-04-07,IA,1048,11670,12718,26
2020-04-08,IA,1145,12821,13966,27
2020-04-09,IA,1270,13703,14973,29
2020-04-10,IA,1388,14565,15953,31
2020-04-11,IA,1510,15622,17132,34
2020-04-12,IA,1587,16005,17592,41
2020-04-13,IA,1710,16986,18696,43
2020-04-14,IA,1899,16986,18885,49
2020-04-15,IA,1995,17874,19869,53
2020-04-16,IA,2141,18534,20675,60
2020-04-17,IA,2332,19460,21792,64
2020-04-18,IA,2513,20434,22947,74
2020-04-19,IA,2902,21648,24550,75
2020-04-20,IA,3159,22661,25820,79
2020-04-21,IA,3641,23974,27615,83
2020-04-22,IA,3748,24496,28244,90
2020-04-23,IA,3924,25338,29262,96
2020-04-24,IA,4445,27528,31973,107
2020-04-25,IA,5092,29258,34350,112
2020-04-26,IA,5476,30614,36090,118
2020-04-27,IA,5868,32282,38150,127
2020-04-28,IA,6376,33447,39823,136
2020-04-29,IA,6843,34494,41337,148
2020-04-30,IA,7145,35522,42667,162
2020-05-01,IA,7884,37708,45592,170
2020-05-02,IA,8641,37708,46349,175
2020-05-03,IA,9169,44017,53186,184
2020-05-04,IA,9703,47458,57161,188
2020-05-05,IA,10111,50458,60569,207
2020-05-06,IA,10404,52767,63171,219
2020-05-07,IA,11059,55368,66427,231
2020-05-08,IA,11457,58804,70261,243
2020-05-09,IA,11671,59805,71476,252
2020-05-10,IA,11959,62215,74174,265
2020-05-11,IA,12373,65419,77792,271
2020-05-12,IA,12912,68376,81288,289
2020-05-13,IA,13289,72430,85719,306
2020-05-14,IA,13675,75619,89294,318
2020-05-15,IA,14049,79517,93566,336
2020-05-16,IA,14328,81972,96300,346
2020-05-17,IA,14651,85590,100241,351
2020-05-18,IA,14955,88193,103148,355
2020-05-19,IA,15349,92299,107648,372
2020-05-20,IA,15614,95134,110748,388
2020-05-21,IA,16170,100395,116565,406
2020-05-22,IA,16504,103746,120250,425
2020-05-23,IA,16893,107048,123941,444
2020-05-24,IA,17252,110504,127756,454
2020-05-25,IA,17577,115138,132715,459
2020-05-26,IA,17703,117301,135004,478
2020-05-27,IA,18360,121166,139526,491
2020-05-28,IA,18573,124360,142933,504
2020-05-29,IA,18926,128394,147320,522
2020-05-30,IA,19244,131179,150423,531
2020-05-31,IA,19552,136744,156296,534
2020-06-01,IA,19697,139384,159081,551
2020-06-02,IA,20016,143674,163690,561
2020-06-03,IA,20055,144390,164445,574
2020-06-04,IA,20805,154130,174935,580
2020-06-05,IA,21152,159511,180663,592
2020-06-06,IA,21478,163236,184714,598
2020-06-07,IA,21667,166525,188192,604
2020-06-08,IA,21987,171635,193622,612
2020-06-09,IA,22236,175487,197723,624
2020-06-10,IA,22551,180278,202829,630
2020-06-11,IA,22938,185601,208539,639
2020-06-12,IA,23337,191207,214544,643
2020-06-13,IA,23717,195891,219608,650
2020-06-14,IA,23926,200708,224634,652
2020-06-15,IA,24053,203335,227388,655
2020-06-16,IA,24179,206459,230638,669
2020-06-17,IA,24461,210670,235131,673
2020-06-18,IA,24854,216077,240931,679
2020-06-19,IA,25275,221374,246649,681
2020-06-20,IA,25496,224711,250207,681
2020-06-21,IA,25963,231189,257152,685
2020-06-22,IA,26051,232581,258632,686
2020-06-23,IA,26373,238330,264703,688
2020-06-24,IA,26705,243254,269959,692
2020-06-25,IA,27197,249857,277054,695
2020-06-26,IA,27686,255957,283643,704
2020-06-27,IA,28012,261740,289752,704
2020-06-28,IA,28489,267426,295915,705
2020-06-29,IA,28782,272063,300845,708
2020-06-30,IA,29007,275181,304188,715
2020-07-01,IA,29451,280339,309790,717
2020-07-02,IA,30209,287329,317538,718
2020-07-03,IA,30429,291032,321461,720
2020-07-04,IA,31041,297970,329011,721
2020-07-05,IA,31353,301119,332472,721
2020-07-06,IA,31657,303805,335462,723
2020-07-07,IA,32029,307269,339298,725
2020-07-08,IA,32509,313842,346351,735
2020-07-09,IA,33240,321419,354659,739
2020-07-10,IA,33984,328264,362248,743
2020-07-11,IA,34647,333714,368361,748
2020-07-12,IA,35071,339342,374413,750
2020-07-13,IA,35529,341187,376716,754
2020-07-14,IA,35849,344559,380408,757
2020-07-15,IA,36291,351021,387312,762
2020-07-16,IA,37132,359319,396451,778
2020-07-17,IA,37722,364731,402453,784
2020-07-18,IA,37907,365822,403729,787
2020-07-19,IA,38723,376768,415491,794
2020-07-20,IA,39166,379378,418544,797
2020-07-21,IA,39474,382959,422433,802
2020-07-22,IA,39793,386643,426436,808
2020-07-23,IA,40634,395652,436286,818
2020-07-24,IA,41271,400602,441873,823
2020-07-25,IA,41671,404592,446263,826
2020-03-07,ID,0,27,27,0
2020-03-08,ID,0,27,27,0
2020-03-09,ID,0,41,41,0
2020-03-10,ID,0,41,41,0
2020-03-11,ID,0,67,67,0
2020-03-12,ID,0,93,93,0
2020-03-13,ID,0,131,131,0
2020-03-14,ID,2,174,176,0
2020-03-15,ID,5,174,179,0
2020-03-16,ID,5,265,270,0
2020-03-17,ID,7,346,353,0
2020-03-18,ID,9,459,468,0
2020-03-19,ID,11,459,470,0
2020-03-20,ID,23,590,613,0
2020-03-21,ID,31,880,911,0
2020-03-22,ID,42,1175,1217,0
2020-03-23,ID,47,1309,1356,0
2020-03-24,ID,50,1887,1937,0
2020-03-25,ID,73,1887,1960,0
2020-03-26,ID,123,2065,2188,0
2020-03-27,ID,189,2668,2857,3
2020-03-28,ID,230,3342,3572,4
2020-03-29,ID,261,4021,4282,5
2020-03-30,ID,310,4396,4706,6
2020-03-31,ID,415,5297,5712,7
2020-04-01,ID,525,6076,6601,9
2020-04-02,ID,669,6613,7282,9
2020-04-03,ID,891,7054,7945,9
2020-04-04,ID,1013,7857,8870,10
2020-04-05,ID,1077,9184,10261,10
2020-04-06,ID,1101,9894,10995,10
2020-04-07,ID,1170,10076,11246,13
2020-04-08,ID,1210,10688,11898,15
2020-04-09,ID,1232,11299,12531,18
2020-04-10,ID,1353,11741,13094,24
2020-04-11,ID,1396,12368,13764,25
2020-04-12,ID,1407,12901,14308,27
2020-04-13,ID,1426,13455,14881,27
2020-04-14,ID,1453,13661,15114,33
2020-04-15,ID,1464,13934,15398,39
2020-04-16,ID,1587,14655,16242,41
2020-04-17,ID,1609,15043,16652,41
2020-04-18,ID,1655,15292,16947,43
2020-04-19,ID,1668,15773,17441,44
2020-04-20,ID,1672,15773,17445,45
2020-04-21,ID,1736,16071,17807,48
2020-04-22,ID,1766,16404,18170,51
2020-04-23,ID,1802,17370,19172,54
2020-04-24,ID,1836,17611,19447,54
2020-04-25,ID,1870,17611,19481,54
2020-04-26,ID,1887,17611,19498,56
2020-04-27,ID,1897,18127,20024,56
2020-04-28,ID,1917,18135,20052,58
2020-04-29,ID,1952,26430,28382,60
2020-04-30,ID,1984,26862,28846,60
2020-05-01,ID,2015,27210,29225,63
2020-05-02,ID,2035,27455,29490,63
2020-05-03,ID,2061,27746,29807,63
2020-05-04,ID,2061,27746,29807,64
2020-05-05,ID,2106,28202,30308,64
2020-05-06,ID,2127,28418,30545,65
2020-05-07,ID,2158,28732,30890,66
2020-05-08,ID,2178,29092,31270,67
2020-05-09,ID,2205,29601,31806,67
2020-05-10,ID,2230,29912,32142,67
2020-05-11,ID,2230,29912,32142,67
2020-05-12,ID,2260,30445,32705,70
2020-05-13,ID,2293,30835,33128,69
2020-05-14,ID,2324,31430,33754,69
2020-05-15,ID,2351,32394,34745,72
2020-05-16,ID,2389,33299,35688,73
2020-05-17,ID,2419,34253,36672,73
2020-05-18,ID,2419,34253,36672,73
2020-05-19,ID,2455,35614,38069,74
2020-05-20,ID,2476,36091,38567,77
2020-05-21,ID,2506,36382,38888,77
2020-05-22,ID,2534,37061,39595,77
2020-05-23,ID,2595,38014,40609,79
2020-05-24,ID,2626,38780,41406,79
2020-05-25,ID,2626,38780,41406,79
2020-05-26,ID,2626,38780,41406,79
2020-05-27,ID,2699,40318,43017,81
2020-05-28,ID,2731,41144,43875,82
2020-05-29,ID,2769,41992,44761,82
2020-05-30,ID,2803,42621,45424,82
2020-05-31,ID,2839,43858,46697,82
2020-06-01,ID,2839,43858,46697,82
2020-06-02,ID,2906,45227,48133,83
